127.0.0.1 - - [18/Jan/2023:10:47:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jan/2023:10:47:29 +0530] "GET /JSP_App/Demo.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [18/Jan/2023:10:47:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:22:06 +0530] "GET /JSP_App/Demo.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:22:06 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:23:56 +0530] "GET /JSP_App/Demo.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:24:12 +0530] "GET /JSP_App/Demo.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:24:13 +0530] "GET /JSP_App/Demo.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:25:45 +0530] "GET /JSP_App/Demo.html HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:25:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:25:56 +0530] "GET /JSP_App/Demo.jsp?uname=Hari HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:26:48 +0530] "GET /JSP_App/Demo.html HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:26:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:26:53 +0530] "GET /JSP_App/Demo.jsp?uname=Hari HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:27:37 +0530] "GET /JSP_App/Demo.jsp?uname=Hari HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:27:39 +0530] "GET /JSP_App/Demo.jsp?uname=Hari HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:29:01 +0530] "GET /JSP_App/Demo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:29:05 +0530] "GET /JSP_App/Demo.jsp?uname=Hari HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:29:11 +0530] "GET /JSP_App/Demo.jsp?uname=Hari HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:29:13 +0530] "GET /JSP_App/Demo.jsp?uname=Hari HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:29:51 +0530] "GET /JSP_App/Demo.html HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:29:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:29:56 +0530] "GET /JSP_App/Demo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:30:05 +0530] "GET /JSP_App/Demo.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:31:02 +0530] "GET /JSP_App/Demo.html HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:31:15 +0530] "GET /JSP_App/Demo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:31:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:31:20 +0530] "GET /JSP_App/Demo.jsp?uname=Hari+Prasad HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:31:55 +0530] "GET /JSP_App/Demo.jsp?uname=Hari+Prasad HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:44:20 +0530] "GET /JSP_App/Demo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:11:44:25 +0530] "GET /JSP_App/Demo.jsp?uname=Hari+Prasad HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:39:33 +0530] "GET /JSP_App/Demo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:39:40 +0530] "GET /JSP_App/Demo.jsp?uname=Hari+Prasad HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:40:38 +0530] "GET /JSP_App/Demo.jsp?uname=Hari+Prasad HTTP/1.1" 302 -
